branch,generation,best_idx,Lx,mtow_out,q_g_per_ton_km,K,cx,cy,mz,mx_beta,my_beta,center_mass,alpha_bal,delta_bal,A,L_mission_km,mz_omegaz,m0,p0,V,H,a_x_loc,a_S_rel,a_dihedral_mag,scheme_fuse,scheme_vertical,S_ref_from_m0_p0
normal_1_1,221,13,57.79465807341558,1159.458065962839,57.79465807341558,34.96103194533841,0.01579187996685505,0.552100419998169,0.0,-1.289960346184671e-05,-0.001851842971518636,0.4178834088995141,6.336356335797964,-2.635664761273074,0.8375294499599663,3000.0,-20.140502499228543,1159.265494,50.692803,39.117376,500.0,3.62056,0.2,48.184066,0.0,0.0,22.868443356742375
normal_1_2,216,10,64.53961289448021,1193.016838729154,64.53961289448021,32.13674728871313,0.01833680085837841,0.589285135269165,6.938893903907228e-18,-3.905646735802293e-06,-0.0003967138472944498,0.5874692406444959,5.026341617335524,-0.9942201698095605,0.7712313744247322,3000.0,-20.007580174930947,1193.016839,63.610722,42.676511,500.0,3.52324,0.200051,0.0,0.0,0.5,18.754964595434082
normal_1_3,234,11,58.56665277549259,1170.971117973603,58.56665277549259,34.84093905151813,0.01578547805547714,0.549980878829956,-1.387778780781446e-17,-6.209185812622309e-06,-0.001459648832678795,0.4429593414443009,6.312759680135712,-2.304944167851205,0.8386179105154126,3000.0,-20.120166640902905,1170.909194,48.613062,38.240719,500.0,3.634711,0.200398,44.057225,0.0,1.0,24.086308202515614
normal_2_1,171,32,57.739870105097275,1172.213202290605,57.73987010509727,35.32828785704957,0.01608799397945404,0.5683612823486328,-1.387778780781446e-17,-0.0008590134093537927,-0.001882043085061014,0.4089028159115403,5.108958033197794,-1.357603423467041,0.846594605347383,3000.0,-20.056884436147246,1172.214049,43.501677,35.971838,500.0,3.644923,0.200332,49.643457,0.5,0.0,26.94641057171198
normal_2_2,143,29,63.53807911315314,1196.742697119555,63.53807911315314,32.72818453779126,0.01718773506581783,0.562523365020752,-3.144186300207963e-18,-3.089895471930504e-06,-0.0003848460037261248,0.5882980740318173,4.246430360427871,0.009905584699913076,0.7969005782241149,3000.0,-20.30358649846125,1196.762956,53.863517,40.179684,500.0,3.626667,0.200011,0.0,0.5,0.5,22.218433230046973
normal_2_3,437,2,59.773206037363266,1206.987441829304,59.77320603736327,35.30315052365383,0.01697906106710434,0.5994143486022949,-2.775557561562891e-17,-2.948218025267124e-07,-0.001833066809922457,1.949865294938845,8.13225116925355,-4.598463102066534,0.5759570521247018,3000.0,-20.026902233593617,1207.024016,40.527702,33.666528,500.0,4.100667,0.2,47.041296,0.5,1.0,29.78269076297492
normal_3_1,159,9,59.22189136008502,1117.19418697717,59.22189136008502,32.79823309867197,0.01634243503212929,0.5360029935836792,6.938893903907228e-18,-1.970474841073155e-06,-0.002170096151530743,0.492636000167738,4.876005495573087,-0.7781788148070111,1.180176188330422,3000.0,-40.48562016676893,1117.23278,59.694486,43.280253,500.0,5.061593,0.200061,46.028229,1.0,0.0,18.715845547275507
normal_3_2,155,12,63.46697438035459,1147.58992039795,63.46697438035459,31.39531192296243,0.01742585562169552,0.5470901727676392,-2.775557561562891e-17,-6.134388968348503e-06,-0.0005997554399073124,1.120170972750858,3.58927245635553,1.829707872277667,1.19730550746268,3000.0,-49.86139001928385,1147.589962,68.599432,46.221871,500.0,5.759093,0.20025,0.0,1.0,0.5,16.728855160200162
normal_3_3,118,37,60.430054071059324,1110.770957822908,60.43005407105932,31.94704927699313,0.01757271774113178,0.5613964796066284,1.387778780781446e-17,-0.0001746823982102796,-0.0006608476396650076,0.4700679330615848,4.749935126075877,-0.7992807536399972,0.8321475642868147,3000.0,-20.092331800718387,1110.658295,65.472277,44.144064,500.0,3.631816,0.200256,30.38187,1.0,1.0,16.96379514951038
duck_1_x,165,15,57.8122364137541,1208.946668430901,57.8122364137541,36.42511752627835,0.01325906813144684,0.4829631149768829,-1.387778780781446e-17,-0.002033785684034228,-6.695277988910675e-05,2.313945110395378,5.624983848369269,-2.198868092152986,0.543322925394235,3000.0,-33.26431378616599,1208.946724,46.045837,39.436912,500.0,2.0,0.799943,7.765401,0.0,0.5,26.255288268513826
duck_2_x,152,11,56.21562886072239,1194.971933321387,56.21562886072239,37.07184644828447,0.01343078911304474,0.4979041516780853,-2.775557561562891e-17,-0.002057355828583241,-2.020341344177723e-05,2.521257950897658,6.362070905259233,-3.00788491401665,0.5957229755771235,3000.0,-39.89469984352454,1194.97199,45.421088,38.088991,500.0,2.0,0.799703,7.526337,0.5,0.5,26.308748702805183
duck_3_x,216,7,56.350906153565795,1137.569215431108,56.35090615356579,35.10845300957885,0.01701278612017632,0.5972926020622253,-1.387778780781446e-17,-0.001911469269543886,-0.0004398704040795565,4.936347343120091,4.545727203191739,-0.5932635273097108,1.196866597795354,3000.0,-195.6403898271486,1137.569294,56.401684,39.845386,500.0,6.0,0.799972,7.672123,1.0,0.5,20.169066122210108
