,cx,cy,mz_ref,mx_beta,my_beta,K
f_aspect,-0.040253767247916385,0.005034776933974746,-0.005547315706579716,0.004827735097024129,0.0074950113793725145,-0.0014948859163235629
f_sweep,0.004297408169326513,0.0068281678735752985,-0.005966617409523046,0.004335897066230029,-0.004588259490539356,0.006733555159479924
f_taper,0.0026684901179859113,-0.005076325479298008,0.004690841789542547,0.0014814962728086193,0.003417957204011125,-0.004178423187938681
f_twist,0.003188275440066462,0.025697013413940185,0.00785833443455382,0.006984796746013324,-0.00019583411974479745,0.004581725304831392
a_aspect,-0.09404670867341441,0.0019518087453218628,-0.01031941554640906,-0.03943278262915329,0.4423335214352806,0.008151441457713285
a_sweep,-0.0033760106748567877,0.002942686641539942,-0.044761846559623224,-0.18167266988694813,-0.027830865552146287,0.00037766149194131695
a_taper,0.007101243543086017,0.0007940450176562714,-0.002093453808347548,0.0351264442337409,-0.021799336932859167,-0.00202114415065175
a_twist,0.018879429383170943,0.05594501490424322,-0.08445750114475876,0.025432728755550568,0.0002029076182674406,0.0309475471998067
a_x_loc,0.013796419483712314,0.0012941337785895852,-0.04619479432758671,-0.0008330987576575688,-0.33437653367046666,-0.0005935068090519925
a_S_rel,-0.024344555572963198,0.011549946287863088,-0.022000684295327158,-0.036753855963585186,-0.0077226660656928015,0.00790473626491291
v_aspect,0.002362206945429537,0.00021127861343262562,0.0008508893393807664,-0.12864070078649106,-0.19573901997726978,0.0022180036927972567
v_S_rel,0.012715062548678616,-0.0009244365274541797,0.0022356380284310005,-0.2936246708549136,-0.5825958315848581,-0.000295792658470631
scheme_fuse,0.0034537739104760078,0.00020761739964812113,0.0011035418591334911,-0.006597423287546078,0.011974319006766083,0.0006918775278539055
scheme_vertical,,,,,,
a_dihedral_mag,-0.004976049778267231,-0.006571010506972267,0.0021810841035836527,-0.3814334393682755,-0.01203294552551461,-0.00968541336122591
S_ref,-0.08710868743713725,0.0035740531418843625,-0.004579282341149871,-0.00703989429247048,-0.1950125279285308,0.0019441299958599264
V,0.008925112101958657,0.001819434446523786,-0.00362841233096409,0.0022659944340493077,0.0004001035252420942,0.0005385461264035602
H,0.0031037842664126108,-1.1008686495995746e-05,0.0004892675772446194,0.0005297195748002376,0.0003030136348461902,-0.0011487219365900637
alpha,0.2262345573232326,0.9897653683228852,-0.9033834480213556,0.08065903219595724,0.006131855999493982,0.8266966173945447
delta,0.01113853669142008,0.0701088268722512,0.035142228961853594,0.015432235772071538,0.006157044606114428,0.009922694784627881
