,cx,cy,mz_ref,mx_beta,my_beta,K
f_aspect,-0.1288523580520482,0.0096279608626653,-0.025686782087705945,-0.0024913130089329353,0.4802077095280141,0.019513006330621065
f_sweep,-0.06537212533814749,-0.007686732412949509,-0.029922212823780842,-0.08457361970736642,0.00041238618431325963,-0.0012266194805749184
f_taper,0.01629760849517267,0.0022876483105753937,0.001596468465556706,0.013565493832783299,-0.0339182216727201,0.0011859307658403176
f_twist,0.015284603054985555,0.058560898453749975,-0.03817688440632506,-0.08668027079672659,-0.0023716165924418634,0.03230461352474745
a_aspect,-0.0016749142181442056,0.0004939352584795036,-3.873178602651753e-05,0.00024811049603184435,-0.04489876619893523,-0.003982438461269368
a_sweep,0.0021430094593238355,0.0005002704455848773,-0.002056836490805271,-0.0012496326750477639,-0.00013110117710707207,-0.001221301573256721
a_taper,0.004255175922075643,0.0024121853608376534,-0.002265199204973806,0.00025375265802269085,0.014161746020956415,0.001804601539073017
a_twist,0.00038397034188835354,0.02952771184996421,-0.06317226354268055,0.0035100990811251912,-0.0005500272505551619,0.006313975858466289
a_x_loc,0.016213551763619917,0.004669882183934482,0.0032520702857515614,-0.005102384517042978,-0.3633043378812622,0.0026146213415636594
a_S_rel,0.01880590220676502,-0.019172578363622055,0.017762761456615084,0.018214318568219007,-0.25081053101282813,-0.010871837887388375
v_aspect,-0.0009334418138686655,-0.0033741337513943487,0.0022344504534256102,-0.026437972172469768,-0.06217277481603617,-0.0020781468846225886
v_S_rel,0.00673580701622779,-0.0017550500858937877,0.0005078624234292046,-0.06882024478190447,-0.17766016579659452,-0.0022337395069220605
scheme_fuse,0.011174187318684956,-0.0003047852941132205,0.0004578432187659287,-0.0021869863320934995,0.02537274842546211,0.00013352465027514834
scheme_vertical,6.888837923787379e-05,0.0018903887647083943,0.00894964841240656,0.2623846047806929,-0.0024225332864685747,-0.002890515520261716
a_dihedral_mag,-0.12895408467553438,0.006327093656983845,-0.010938872114393997,0.13678295302882118,-0.20290035511151178,0.008010838370113807
S_ref,-0.09308531606427409,0.0007312325151005559,-0.0012361258139352304,-0.0032127835676213873,-0.1790435769372899,0.0009840879296520565
V,0.008776158525233129,-0.002291618542574271,0.0033490889832097806,-0.0003000561949734988,-0.0068735794473384435,-0.002747626993582162
H,-0.0010120505911361494,-0.0032716602544583407,0.0046712156909649635,0.004609228256556015,0.0020717388312890945,-0.0024588285939317034
alpha,0.19475943873465582,0.9848271529053589,-0.9045759937571606,-0.47565380208343444,-0.01114243750560584,0.832153654365674
delta,0.009499791736103195,0.09298410965765554,-0.19425194430287865,0.007676485483612148,-0.003420331162558076,0.022790754460770456
